"filename", "language", "JSON", "JavaScript", "comment", "blank", "total"
"c:\Users\User\Desktop\projects\MERN-School-Management-System\backend\controllers\MediaPlayCountController.js", "JavaScript", 0, 25, 42, 17, 84
"c:\Users\User\Desktop\projects\MERN-School-Management-System\backend\controllers\PlayCountController.js", "JavaScript", 0, 11, 1, 3, 15
"c:\Users\User\Desktop\projects\MERN-School-Management-System\backend\controllers\admin-controller.js", "JavaScript", 0, 62, 73, 18, 153
"c:\Users\User\Desktop\projects\MERN-School-Management-System\backend\controllers\class-controller.js", "JavaScript", 0, 95, 0, 10, 105
"c:\Users\User\Desktop\projects\MERN-School-Management-System\backend\controllers\complain-controller.js", "JavaScript", 0, 25, 0, 5, 30
"c:\Users\User\Desktop\projects\MERN-School-Management-System\backend\controllers\data.js", "JavaScript", 0, 68, 0, 12, 80
"c:\Users\User\Desktop\projects\MERN-School-Management-System\backend\controllers\media-controller.js", "JavaScript", 0, 30, 22, 13, 65
"c:\Users\User\Desktop\projects\MERN-School-Management-System\backend\controllers\notice-controller.js", "JavaScript", 0, 56, 0, 6, 62
"c:\Users\User\Desktop\projects\MERN-School-Management-System\backend\controllers\question-controller.js", "JavaScript", 0, 31, 72, 47, 150
"c:\Users\User\Desktop\projects\MERN-School-Management-System\backend\controllers\quiz-controller.js", "JavaScript", 0, 70, 54, 38, 162
"c:\Users\User\Desktop\projects\MERN-School-Management-System\backend\controllers\student_controller.js", "JavaScript", 0, 372, 15, 66, 453
"c:\Users\User\Desktop\projects\MERN-School-Management-System\backend\controllers\subject-controller.js", "JavaScript", 0, 134, 18, 27, 179
"c:\Users\User\Desktop\projects\MERN-School-Management-System\backend\controllers\teacher-controller.js", "JavaScript", 0, 173, 0, 32, 205
"c:\Users\User\Desktop\projects\MERN-School-Management-System\backend\index.js", "JavaScript", 0, 25, 46, 21, 92
"c:\Users\User\Desktop\projects\MERN-School-Management-System\backend\middleware\upload.js", "JavaScript", 0, 22, 2, 5, 29
"c:\Users\User\Desktop\projects\MERN-School-Management-System\backend\middleware\uploadQuestions.js", "JavaScript", 0, 22, 44, 19, 85
"c:\Users\User\Desktop\projects\MERN-School-Management-System\backend\models\Conn.js", "JavaScript", 0, 6, 4, 3, 13
"c:\Users\User\Desktop\projects\MERN-School-Management-System\backend\models\MediaPlayCountSchema.js", "JavaScript", 0, 11, 27, 10, 48
"c:\Users\User\Desktop\projects\MERN-School-Management-System\backend\models\MediaSchema.js", "JavaScript", 0, 33, 0, 3, 36
"c:\Users\User\Desktop\projects\MERN-School-Management-System\backend\models\adminSchema.js", "JavaScript", 0, 26, 0, 2, 28
"c:\Users\User\Desktop\projects\MERN-School-Management-System\backend\models\complainSchema.js", "JavaScript", 0, 31, 0, 3, 34
"c:\Users\User\Desktop\projects\MERN-School-Management-System\backend\models\finalstudentSchema.js", "JavaScript", 0, 67, 0, 13, 80
"c:\Users\User\Desktop\projects\MERN-School-Management-System\backend\models\noticeSchema.js", "JavaScript", 0, 20, 0, 2, 22
"c:\Users\User\Desktop\projects\MERN-School-Management-System\backend\models\questionRepoSchema.js", "JavaScript", 0, 22, 0, 6, 28
"c:\Users\User\Desktop\projects\MERN-School-Management-System\backend\models\questionSchema.js", "JavaScript", 0, 9, 2, 2, 13
"c:\Users\User\Desktop\projects\MERN-School-Management-System\backend\models\resultSchema.js", "JavaScript", 0, 36, 1, 3, 40
"c:\Users\User\Desktop\projects\MERN-School-Management-System\backend\models\sclassSchema.js", "JavaScript", 0, 12, 0, 4, 16
"c:\Users\User\Desktop\projects\MERN-School-Management-System\backend\models\studentSchema.js", "JavaScript", 0, 75, 14, 8, 97
"c:\Users\User\Desktop\projects\MERN-School-Management-System\backend\models\subjectSchema.js", "JavaScript", 0, 34, 0, 2, 36
"c:\Users\User\Desktop\projects\MERN-School-Management-System\backend\models\teacherSchema.js", "JavaScript", 0, 47, 0, 2, 49
"c:\Users\User\Desktop\projects\MERN-School-Management-System\backend\package-lock.json", "JSON", 1908, 0, 0, 1, 1909
"c:\Users\User\Desktop\projects\MERN-School-Management-System\backend\package.json", "JSON", 23, 0, 0, 1, 24
"c:\Users\User\Desktop\projects\MERN-School-Management-System\backend\routes\route.js", "JavaScript", 0, 123, 49, 64, 236
"c:\Users\User\Desktop\projects\MERN-School-Management-System\backend\vercel.json", "JSON", 15, 0, 0, 0, 15
"Total", "-", 1946, 1773, 486, 468, 4673
